도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,16454,452,5522,19335,1514
일반국도,흐림,804,39,314,847,60
일반국도,비,1477,55,551,1728,151
일반국도,안개,44,3,25,38,1
일반국도,눈,83,1,31,118,3
일반국도,기타/불명,183,8,47,211,16
지방도,맑음,12469,318,4224,13707,1273
지방도,흐림,556,20,223,562,50
지방도,비,1078,42,361,1173,97
지방도,안개,27,2,16,27,2
지방도,눈,74,1,27,83,7
지방도,기타/불명,122,8,38,127,8
특별광역시도,맑음,74248,543,18972,78058,7399
특별광역시도,흐림,2639,43,688,2749,250
특별광역시도,비,6352,65,1743,6782,662
특별광역시도,안개,10,1,5,9,1
특별광역시도,눈,157,0,29,186,17
특별광역시도,기타/불명,640,8,165,641,82
시도,맑음,61845,746,17712,66978,5045
시도,흐림,2349,53,756,2501,207
시도,비,5352,94,1567,5962,403
시도,안개,48,2,27,53,4
시도,눈,209,1,50,251,23
시도,기타/불명,426,3,131,437,32
군도,맑음,6670,183,2657,6323,515
군도,흐림,346,16,165,302,18
군도,비,520,17,214,523,58
군도,안개,21,0,19,12,1
군도,눈,33,1,12,35,4
군도,기타/불명,55,3,15,57,3
고속국도,맑음,3489,159,1207,5394,589
고속국도,흐림,130,18,62,213,39
고속국도,비,379,37,152,537,62
고속국도,안개,4,0,2,4,0
고속국도,눈,25,7,20,77,5
고속국도,기타/불명,12,2,8,16,2
기타,맑음,9040,108,2498,8658,871
기타,흐림,392,15,107,384,31
기타,비,590,5,141,629,53
기타,안개,11,0,4,8,1
기타,눈,34,1,7,37,2
기타,기타/불명,257,1,50,264,33
