도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,18348,386,5163,21293,1786
일반국도,흐림,761,27,236,839,72
일반국도,비,1100,40,330,1262,108
일반국도,안개,34,3,12,37,2
일반국도,눈,178,7,43,201,31
일반국도,기타/불명,167,5,50,186,22
지방도,맑음,11157,278,3489,12105,1282
지방도,흐림,396,19,109,408,34
지방도,비,554,15,178,600,65
지방도,안개,31,0,20,30,2
지방도,눈,76,0,15,99,10
지방도,기타/불명,100,4,28,103,14
특별광역시도,맑음,70134,508,16602,74568,5851
특별광역시도,흐림,2145,37,539,2265,167
특별광역시도,비,3693,53,905,3909,295
특별광역시도,안개,11,0,2,9,2
특별광역시도,눈,315,5,56,372,29
특별광역시도,기타/불명,1064,3,199,1208,81
시도,맑음,56074,691,14839,59642,4569
시도,흐림,1943,50,534,1963,220
시도,비,3007,46,854,3173,228
시도,안개,46,2,16,45,3
시도,눈,380,3,76,440,26
시도,기타/불명,375,6,105,403,25
군도,맑음,6486,200,2494,6102,554
군도,흐림,251,10,91,225,28
군도,비,274,13,109,289,24
군도,안개,8,3,3,5,1
군도,눈,48,3,17,59,4
군도,기타/불명,16,1,8,14,2
고속국도,맑음,4382,152,1259,7260,782
고속국도,흐림,90,9,35,115,7
고속국도,비,325,19,134,472,62
고속국도,안개,4,0,2,2,1
고속국도,눈,37,1,32,122,0
고속국도,기타/불명,22,3,6,23,1
기타,맑음,11204,102,2794,10909,1084
기타,흐림,432,10,95,407,54
기타,비,540,8,116,566,56
기타,안개,10,1,3,6,1
기타,눈,81,2,12,111,12
기타,기타/불명,537,10,105,583,61
